Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	5	6,564
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	6	6,939
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	7	7,311
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	8	6,999
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	9	7,124
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	10	7,344
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	11	1,328
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	12	467
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	1	380
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	2	1,011
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	3	861
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	4	2,297
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	5	5,655
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	6	5,428
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	7	4,828
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	8	4,356
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	9	3,879
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	10	6,458
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	11	1,692
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1996	12	1,385
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	1	241
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	2	560
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	3	401
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	4	3,182
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	5	7,933
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	6	8,516
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	7	8,721
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	8	8,249
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	9	6,719
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	10	7,820
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	11	1,924
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1997	12	2,377
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	1	1,144
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	2	1,554
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	3	1,758
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	4	3,315
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	5	8,477
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	6	11,133
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	7	10,104
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	8	8,745
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	9	6,279
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	10	7,813
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	11	1,894
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1998	12	1,353
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	1	999
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	2	2,555
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	3	2,047
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	4	4,989
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	5	11,508
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	6	12,574
